"question","answer"
"Apa penyebab dan cara penanganan ink smear atau noda tinta pada hasil cetak?","Ink smear adalah kondisi tinta menyebar di luar area cetak yang diinginkan. Penyebab: 1. Tinta belum kering saat kertas ditumpuk. 2. Kertas tidak sesuai spesifikasi. 3. Setting waktu pengeringan terlalu singkat. 4. Head terlalu dekat dengan kertas. 5. Wiper blade kotor. Penanganan: 1. Atur Paper Type sesuai media yang digunakan. 2. Kurangi kecepatan cetak. 3. Bersihkan wiper blade sesuai prosedur maintenance. 4. Atur paper gap setting ke posisi normal atau thick. K3: Hati-hati saat membersihkan wiper blade, tinta dapat tercipratan. Referensi: QC-SMEAR-011"
"Bagaimana cara mendiagnosis kerusakan pada mainboard printer Epson?","Tanda-tanda kerusakan mainboard: printer tidak menyala, error code C-xxx, tidak ada respons dari panel, smoke/bau terbakar, atau printer ON/OFF sendiri. Prosedur diagnosis: 1. Periksa tegangan input power supply — harus 24V±5% untuk logic board. 2. Cek fuse pada mainboard secara visual dan dengan continuity tester. 3. Periksa kapasitor — tampilan fisik menggembung atau bocor menandakan kerusakan. 4. Sambungkan ke PC dan cek device manager. 5. Catat error code yang muncul. 6. Lakukan board swap test dengan mainboard dari unit identik. Keputusan: Jika mainboard rusak, status unit = REJECT untuk penggantian. K3: Lepas kabel power sebelum mengukur komponen. Referensi: HW-MAIN-012"
"Apa yang menyebabkan carriage macet (carriage jam) dan bagaimana menanganinya?","Carriage jam terjadi ketika carriage tidak dapat bergerak bebas di sepanjang rail. Penyebab: 1. Penumpukan tinta kering pada rel carriage. 2. Objek asing di jalur carriage. 3. Belt carriage kendur atau putus. 4. Kerusakan pada encoder strip. Penanganan: 1. Matikan printer SEGERA saat terdengar suara abnormal. 2. Buka cover dan periksa visual — cari objek asing. 3. Bersihkan rel carriage dengan kain lembab isopropyl alcohol. 4. Aplikasikan pelumas silikon tipis pada rel (BUKAN oli mesin). 5. Periksa kondisi belt. 6. Gerakkan carriage secara manual — harus bergerak mulus. K3: Hati-hati terhadap ujung tajam pada rel carriage. Referensi: MECH-CARR-013"
"Bagaimana standar K3 Keselamatan dan Kesehatan Kerja di lini perakitan printer?","Standar K3 lini perakitan printer Epson: 1. APD wajib: sarung tangan ESD untuk komponen elektronik, kacamata pelindung saat bekerja dengan tinta atau solven, masker N95 saat membersihkan tinta dalam jumlah besar. 2. Penanganan tinta: hindari kontak langsung dengan kulit, gunakan di area berventilasi baik, simpan dalam suhu 5-35°C jauh dari api. 3. Listrik statis: gunakan gelang ESD dan alas antistatik saat memegang PCB atau print head. 4. Ergonomi: gunakan lift tool saat memindahkan printer berat (>5kg). 5. Tumpahan tinta: tangani segera dengan absorbent, jangan biarkan mengering di lantai. Referensi: K3-STD-014"
"Apa yang dimaksud REWORK dan REJECT dalam konteks QC lini perakitan?","Klasifikasi status unit di QC: REWORK: Unit memiliki defect yang dapat diperbaiki dalam lini tanpa penggantian komponen utama. Contoh: head alignment off, paper sensor butuh cleaning. Unit dikembalikan ke stasiun kerja terkait untuk perbaikan kemudian di-QC ulang. REJECT: Unit memiliki defect signifikan yang memerlukan penggantian komponen utama. Contoh: print head rusak, mainboard failure, body retak struktural. Unit dipisahkan dari line dan ditagging dengan label REJECT merah. LANJUT PROSES: Unit lolos semua pengecekan QC dan dapat dilanjutkan ke packaging. Setiap keputusan REJECT harus didokumentasikan dalam Defect Report Form. Referensi: QC-STATUS-015"
"Bagaimana cara melakukan Initial Ink Charge setelah penggantian print head?","Initial Ink Charge adalah proses pengisian tinta pertama kali ke print head baru. Prosedur: 1. Pastikan semua cartridge terisi penuh (minimal 80%). 2. Nyalakan printer. 3. Masuk ke Menu > Maintenance > Initial Ink Charge atau Power Cleaning. 4. Konfirmasi proses — printer akan memompa tinta selama 3-8 menit. JANGAN matikan selama proses berlangsung. 5. Setelah selesai, cetak Nozzle Check Pattern. 6. Jika ada nozzle yang belum terisi, lakukan Head Cleaning 1-2x. 7. Proses ini menggunakan sekitar 20-30% tinta. K3: Jangan membuka cover printer selama proses Initial Charge berlangsung. Referensi: MAINT-INIT-016"
"Apa yang menyebabkan printer tidak terdeteksi oleh komputer atau sistem jaringan?","Tidak terdeteksinya printer dapat disebabkan oleh: 1. Kabel USB rusak atau port USB kotor. 2. Driver tidak terinstal atau versi tidak kompatibel. 3. IP address conflict pada printer jaringan. 4. Firewall memblokir komunikasi printer. 5. Printer dalam mode sleep. 6. USB controller pada mainboard bermasalah. Langkah diagnosis: 1. Cek fisik kabel. 2. Uji dengan port USB berbeda. 3. Untuk jaringan: print Configuration Page untuk melihat IP address saat ini. 4. Pastikan printer dan PC dalam subnet yang sama. 5. Reinstall driver dari sumber resmi Epson. Referensi: CONN-USB-017"
"Bagaimana cara membaca dan menginterpretasikan error code pada printer Epson?","Error code umum dan artinya: E-01/E-02: Paper Out. E-03: Paper Jam — buka semua akses dan keluarkan kertas. E-10/E-11: Ink Low/Out — isi atau ganti cartridge. W-01: Ink Absorber hampir penuh — segera laporkan untuk penggantian. W-02: Ink Absorber Penuh — printer berhenti beroperasi sampai absorber diganti. E-21: Paper Size Error. Fatal Error (blinking semua lampu): kemungkinan kerusakan hardware. Untuk model dengan layar LCD: error code ditampilkan langsung dengan deskripsi singkat. Selalu rujuk service manual model spesifik untuk error code yang tidak tercantum. Referensi: ERR-CODE-018"
"Apa yang dimaksud waste ink pad dan bagaimana prosedur penggantiannya?","Waste ink pad (ink absorber) adalah bantalan spons yang menampung tinta buangan dari proses cleaning. Kapasitas terbatas — ketika penuh, printer menampilkan warning W-02 dan berhenti beroperasi. Prosedur penggantian: 1. Matikan printer dan lepaskan power. 2. Buka bottom cover printer. 3. Lepaskan waste ink pad lama — masukkan ke kantong plastik tertutup untuk disposal. 4. Pasang waste ink pad baru. 5. Tutup cover. 6. Reset counter waste ink menggunakan Epson Adjustment Program. 7. Uji printer dengan print test page. K3: Waste ink mengandung campuran tinta — tangani sebagai limbah B3. Referensi: MAINT-WASTE-019"
"Bagaimana prosedur kalibrasi Head Alignment setelah penggantian print head?","Head alignment memastikan semua warna cetak secara tepat di posisi yang sama. Prosedur: 1. Setelah penggantian head dan Initial Charge selesai, masuk ke Menu > Maintenance > Head Alignment. 2. Pilih kertas plain A4 80gsm. 3. Printer akan mencetak sheet alignment pattern. 4. Periksa setiap baris dan pilih nomor pola yang paling lurus. 5. Masukkan nomor yang dipilih ke printer. 6. Cetak ulang untuk verifikasi — semua baris harus menunjukkan angka 0 atau pola yang sempurna. 7. Jika alignment masih buruk setelah 2x percobaan, periksa apakah print head terpasang dengan benar. Referensi: CALIB-HEAD-020"
"Apa yang harus dilakukan jika terjadi over-inking atau flooding pada hasil cetak?","Over-inking adalah kondisi tinta berlebihan yang diaplikasikan sehingga kertas basah atau warna terlalu gelap. Penyebab: 1. Ink density setting terlalu tinggi. 2. Media type setting salah. 3. Kerusakan pada ink delivery system. 4. Damper filter tersumbat. Penanganan: 1. Cek dan perbaiki media type dan print quality setting. 2. Kurangi ink density 10-20% dalam driver settings. 3. Jika masalah persisten, periksa damper assembly — bersihkan atau ganti jika tersumbat. 4. Periksa sensor level tinta. K3: Hindari area kerja yang basah tinta — licin dan berpotensi konslet. Referensi: QC-OVERINK-021"
"Bagaimana cara melakukan diagnostic print untuk mengidentifikasi defect kategori Printing Quality?","Langkah diagnostic print sistematis: 1. Lakukan Nozzle Check Pattern — identifikasi nozzle yang mati atau tersumbat. 2. Cetak Color Gradient Chart — identifikasi inkonsistensi pada transisi warna gradien. 3. Cetak Text Quality Test — identifikasi masalah ketajaman. 4. Cetak Grid Pattern — identifikasi masalah geometric accuracy. 5. Cetak Black-only Test — isolasi apakah masalah pada black cartridge. 6. Dokumentasikan setiap hasil dengan foto untuk laporan QC. Interpretasi: Nozzle gap = cleaning, Color inconsistency = kalibrasi, Text blur = head alignment, Grid distortion = encoder issue. Referensi: DIAG-PRINT-022"
"Apa standar spesifikasi tinta Epson yang harus digunakan di lini produksi?","Spesifikasi tinta standar Epson untuk lini produksi: 1. Gunakan HANYA tinta original Epson sesuai nomor seri yang tercantum di service manual unit. 2. Tinta non-original dapat menyebabkan: nozzle clog permanen, void warranty, kerusakan damper/absorber. 3. Suhu penyimpanan tinta: 5-35°C, jauh dari sinar matahari langsung. 4. Batas penggunaan: lihat tanggal kedaluwarsa pada cartridge. 5. Cartridge baru harus dikocok 5x sebelum dipasang. 6. Untuk EcoTank: isi tinta perlahan menggunakan nozzle botol. K3: Simpan tinta jauh dari api dan sumber panas. Referensi: SPEC-INK-023"
"Bagaimana prosedur pengecekan dan penggantian roller kertas?","Roller kertas yang aus menyebabkan feeding tidak stabil atau double-feed. Prosedur pengecekan: 1. Akses roller melalui rear cover atau bottom panel. 2. Putar roller secara manual — harus terasa halus dan seragam. 3. Inspeksi visual: cari tanda keausan (permukaan glossy/licin). 4. Bersihkan roller dengan kain lembab (air bersih saja) — jangan gunakan alkohol. 5. Uji feeding dengan kertas 80gsm. Penggantian: 1. Catat nomor part roller dari service manual. 2. Lepaskan baut atau clip penahan roller. 3. Tarik roller dari shaft. 4. Pasang roller baru — pastikan orientasi benar. 5. Lakukan feeding test 5 lembar berturut-turut. K3: Hati-hati terhadap spring tegangan saat membuka akses roller. Referensi: MAINT-ROLL-024"
"Apa yang menyebabkan printer menghasilkan warna memudar atau pucat setelah beberapa bulan pemakaian?","Pudar warna (fading) dapat disebabkan oleh: 1. Tinta kadaluarsa atau kualitas rendah. 2. Nozzle tersumbat sebagian pada saluran warna tertentu. 3. Cartridge hampir kosong di satu warna. 4. Kualitas cetak diatur ke mode Economy/Draft. 5. Kepala cetak perlu kalibrasi ulang. Penanganan: 1. Cek tanggal kadaluarsa cartridge. 2. Lakukan Nozzle Check — identifikasi warna yang memiliki gap. 3. Lakukan Head Cleaning untuk warna yang bermasalah. 4. Ganti cartridge yang level-nya di bawah 20%. 5. Lakukan Color Calibration. 6. Pastikan print quality setting bukan Economy. Referensi: QC-FADE-025"
"Bagaimana prosedur penanganan unit yang mengalami streak atau garis vertikal pada hasil cetak?","Streak vertikal adalah garis lurus memanjang sepanjang halaman dalam arah gerakan kertas. Penyebab: 1. Satu atau beberapa nozzle tersumbat total. 2. Print head mengalami dead nozzle permanen. 3. Encoder strip kotor atau rusak. Langkah diagnosis: 1. Cetak Nozzle Check Pattern — identifikasi kolom nozzle yang kosong. 2. Lakukan Head Cleaning 2x. 3. Jika setelah 3x Power Cleaning streak masih ada, kemungkinan dead nozzle permanen. 4. Periksa encoder strip dari kotoran atau goresan. 5. Jika encoder bersih namun streak persisten, evaluasi penggantian print head. Keputusan: Dead nozzle = REJECT untuk penggantian head. Referensi: QC-STREAK-026"
"Apa yang harus dilakukan jika printer mengeluarkan suara grinding atau klik abnormal saat mencetak?","Suara abnormal mengindikasikan masalah mekanis. Jenis suara: Grinding/menggiling: carriage menabrak sesuatu atau gear aus. Klik keras berulang: belt slip atau encoder strip rusak. Squeak/decit: roller atau carriage rail butuh pelumas. Rattle: komponen lepas. Prosedur: 1. HENTIKAN PRINTING SEGERA. 2. Matikan printer dan buka cover. 3. Inspeksi visual jalur carriage — cari objek asing. 4. Periksa kondisi belt. 5. Periksa semua screw yang dapat diakses. 6. Lumasi rail carriage dengan silikon tipis jika squeak. 7. Lakukan carriage movement test manual. K3: Matikan dan lepas power SEBELUM membuka cover. Referensi: MECH-SOUND-027"
"Bagaimana cara melakukan factory reset pada printer Epson di lini produksi?","Factory reset mengembalikan semua setting ke kondisi pabrik. Prosedur berdasarkan model: Metode 1 (Panel Button): Tekan dan tahan tombol Reset/OK selama 5-7 detik saat printer menyala. Metode 2 (Menu): Menu > Setup > Restore Default Settings > All Settings > Yes. Metode 3 (Adjustment Program): Gunakan Epson Service Utility > Maintenance > Reset to Factory Default. Catatan: 1. Factory reset TIDAK mereset waste ink counter — gunakan Adjustment Program untuk itu. 2. Factory reset TIDAK menghapus network settings pada beberapa model. 3. Semua kustomisasi user akan terhapus. 4. Setelah reset, lakukan QC standard. Referensi: MAINT-RESET-028"
"Apa perbedaan Standard Cleaning, Power Cleaning, dan Manual Cleaning pada print head?","Tiga level pembersihan print head: Standard Cleaning: Durasi 1-2 menit. Menggunakan pompa vacuum untuk menarik tinta. Menggunakan tinta 2-5% cartridge. Digunakan untuk: nozzle check ada gap ringan (1-3 nozzle). Power Cleaning: Durasi 3-5 menit. Tekanan vacuum lebih tinggi. Menggunakan tinta 10-15% cartridge. Digunakan untuk: Standard Cleaning gagal setelah 3x percobaan. Manual Cleaning: Dilakukan secara fisik oleh teknisi. Gunakan syringe khusus dengan cairan pembersih head. Injeksi cairan perlahan dari sisi ink port. Rendam head dalam cairan pembersih 15-30 menit jika tersumbat parah. Digunakan untuk: Power Cleaning gagal. K3: Gunakan sarung tangan dan kacamata saat manual cleaning. Referensi: CLEAN-LEVEL-029"
"Bagaimana cara menangani unit yang mengalami masalah koneksi WiFi pada lini QC?","Masalah koneksi WiFi pada saat QC. Prosedur diagnosis: 1. Cetak Network Configuration Sheet (tahan tombol WiFi >3 detik). 2. Cek IP Address — apakah sudah mendapat IP dari DHCP (bukan 169.254.x.x). 3. Cek Signal Strength — harus minimal 50% untuk koneksi stabil. 4. Pastikan SSID dan password yang dimasukkan benar. 5. Cek apakah router menggunakan frekuensi 5GHz — kebanyakan printer Epson hanya support 2.4GHz. 6. Reset network setting printer dan setup ulang. 7. Jika masih gagal, periksa WiFi module — kemungkinan REJECT untuk penggantian. Referensi: CONN-WIFI-030"
"Apa yang dimaksud dengan ink system flush dan kapan prosedur ini dilakukan?","Ink system flush adalah pembersihan menyeluruh seluruh sistem ink delivery. Kapan dilakukan: 1. Saat mengganti jenis tinta (dari dye-based ke pigment-based). 2. Setelah penyimpanan jangka panjang lebih dari 3 bulan tidak digunakan. 3. Saat terjadi kontaminasi tinta parah. 4. Sebelum pengiriman unit refurbished. Prosedur: 1. Kosongkan semua cartridge/ink tank. 2. Isi dengan cairan flush khusus (JANGAN gunakan air biasa). 3. Jalankan Power Cleaning 3-5x. 4. Kuras cairan flush. 5. Isi dengan tinta produksi baru. 6. Lakukan Initial Charge. 7. Verifikasi dengan Nozzle Check. Durasi total: 45-90 menit. K3: Cairan flush bersifat iritasi — gunakan APD lengkap. Referensi: MAINT-FLUSH-031"
"Bagaimana cara mengidentifikasi dan menangani defect pada housing atau body printer?","Defect fisik pada body yang umum ditemukan di QC: 1. Goresan (scratch): Scratch A tidak terasa dengan kuku dan kurang dari 5mm = acceptable. Scratch B terasa dengan kuku atau lebih dari 5mm = REWORK atau REJECT. 2. Dent/lekukan: Semua dent pada surface yang terlihat = REJECT. 3. Misalignment panel: Gap antara panel lebih dari 0.5mm = REWORK. 4. Warna tidak sesuai master color standard = REJECT. 5. Fungsi click/snap tidak responsif: REWORK. 6. Retak pada structural body = REJECT segera. Prosedur inspeksi: Gunakan lighting standar QC booth (800-1000 lux) dari jarak 30cm. Dokumentasi dengan foto. Referensi: QC-BODY-032"
"Apa yang harus dilakukan jika printer menampilkan error Waste Ink Pad Full sebelum batas waktu seharusnya?","Jika error W-02 muncul terlalu cepat, kemungkinan penyebab: 1. Counter tidak di-reset setelah penggantian pad sebelumnya. 2. Unit mengalami excessive cleaning karena masalah nozzle yang berulang. 3. Pad dipasang tidak pada posisi yang benar. 4. Counter tersimpan korup. Penanganan: 1. Verifikasi secara fisik kondisi waste ink pad — buka akses dan cek apakah memang penuh. 2. Jika pad belum penuh, lakukan counter reset menggunakan Epson Adjustment Program. 3. Jika pad cepat penuh karena excessive cleaning, investigasi root cause nozzle problem. 4. Ganti pad dan reset counter bersamaan. K3: Waste ink = limbah B3. Referensi: MAINT-WASTECNT-033"
"Bagaimana cara melakukan ink level reset atau mengkalibrasi sensor level tinta?","Sensor level tinta yang tidak akurat menampilkan level yang salah. Kalibrasi: 1. Gunakan Epson Adjustment Program > Maintenance > Reset Ink Level. 2. Masukkan nilai level aktual berdasarkan visual inspection. 3. Konfirmasi reset. Untuk cartridge system: Jika cartridge menunjukkan empty tapi masih ada tinta, chip cartridge mungkin sudah mencapai batas counter. Chip counter tidak dapat di-reset tanpa chip resetter tool khusus. Untuk EcoTank: Level ditampilkan berdasarkan sensor float di tank. Jika tidak akurat, cek apakah float tersangkut atau tank kotor. Bersihkan float dan dinding dalam tank. Referensi: CALIB-INK-036"
"Apa protokol pelaporan saat ditemukan defect batch atau defect yang terjadi pada banyak unit dari produksi yang sama?","Defect batch mengindikasikan masalah sistemik pada proses atau komponen. Protokol: 1. Identifikasi batch: catat nomor batch/lot dari label unit yang terdeteksi defect. 2. Isolasi: segera pisahkan semua unit dengan nomor batch yang sama dari line. 3. Tentukan scope: QC-team periksa 10 unit random dari batch tersebut. 4. Eskalasi SEGERA: lapor ke QC Supervisor dan Production Manager dalam 30 menit. 5. Dokumentasi: isi Defect Batch Report Form. 6. Root Cause Analysis: tim teknis investigasi root cause. 7. Corrective Action: implementasikan tindakan perbaikan sebelum melanjutkan produksi. Referensi: QC-BATCH-035"
"Bagaimana prosedur SOP kebersihan area kerja di lini perakitan printer?","SOP Kebersihan Lini Perakitan: Harian (setiap shift): 1. Bersihkan permukaan workbench dengan kain microfiber anti-statik. 2. Kumpulkan semua sampah tinta dan cartridge bekas ke container B3 bertanda. 3. Sapu lantai area kerja dan pastikan tidak ada tinta tumpah yang mengering. 4. Cek dan reset ESD mat grounding. Mingguan: 1. Bersihkan dalam storage cabinet untuk tinta. 2. Inspeksi kondisi APD. 3. Review dan perbarui MSDS/SDS yang terpajang. Bulanan: 1. Deep cleaning seluruh area. 2. Audit stok B3 dan lakukan pembuangan sesuai jadwal. K3: Gunakan APD lengkap selama cleaning. Referensi: SOP-CLEAN-038"
"Bagaimana cara mendiagnosis masalah pada ASF Automatic Sheet Feeder yang tidak berfungsi dengan benar?","ASF yang bermasalah menyebabkan kertas tidak masuk otomatis atau double-feed. Diagnosis: 1. Periksa separasi pad di ASF — pad karet harus memiliki tekstur yang cukup. 2. Periksa pick roller ASF — putar manual, harus terasa grip. 3. Cek pegas penahan paper guide. 4. Uji dengan jenis kertas berbeda untuk mengecualikan masalah media. 5. Akses sensor kertas di ASF dan bersihkan. 6. Periksa apakah ada kotoran atau sobekan kertas di area ASF. Penanganan: Pad aus = REWORK (ganti separasi pad). Roller aus = REWORK (ganti pick roller). Sensor rusak = REJECT atau REWORK tergantung ketersediaan part. Referensi: MECH-ASF-039"
"Apa saja tanda-tanda kerusakan pada damper assembly dan bagaimana cara menggantinya?","Damper assembly mengontrol aliran tinta dari cartridge ke print head. Tanda kerusakan: 1. Tinta tidak mengalir meski cartridge penuh. 2. Gelembung udara dalam tube tinta. 3. Tinta bocor di sekitar damper. 4. Ink pressure tidak stabil. Prosedur penggantian: 1. Matikan printer dan lepas power. 2. Foto posisi tube sebelum melepas. 3. Lepaskan tube dari damper dengan menekan clip pelepas. 4. Lepaskan baut/clip penahan damper dari carriage. 5. Pasang damper baru — perhatikan urutan warna tube (CMYK dari kiri ke kanan). 6. Reconnect tube. 7. Lakukan Initial Charge. 8. Verifikasi tidak ada kebocoran. K3: Gunakan lap untuk menampung tetesan tinta. Referensi: MAINT-DAMP-040"
"Bagaimana cara memastikan kualitas cetak konsisten dalam produksi massal di lini perakitan?","Konsistensi kualitas cetak dalam produksi massal memerlukan kontrol ketat: 1. Gunakan print master reference: setiap shift cetak reference sheet dan bandingkan secara visual. 2. Kalibrasi rutin: lakukan Head Alignment setiap 500 lembar atau setiap pergantian shift. 3. Kontrol kondisi lingkungan: monitor suhu (15-25°C) dan kelembapan (40-60% RH). 4. Lot tinta yang sama: gunakan batch tinta yang sama dalam satu produksi batch. 5. Pengecekan head sebelum produksi: Nozzle Check wajib di awal setiap shift. 6. Statistical sampling: QC periksa 1 dari setiap 20 unit untuk full QC print test. 7. Responsif terhadap drift: jika 3 unit berturut-turut gagal parameter yang sama, hentikan produksi dan investigasi. Referensi: QC-MASSAL-041"
