web_scraper_order,web_scraper_start_url,links,question_links,question,anwer
"1775041490-13","https://epson.com/Support/Printers/All-In-Ones/ET-Series/Epson-ET-2400/s/SPT_C11CJ67201#questions","https://epson.com/Support/Printers/All-In-Ones/ET-Series/Epson-ET-2400/s/SPT_C11CJ67201#faq-8796127635532","https://epson.com/faq/SPT_C11CJ67201~faq-00009ce-et2400?faq_cat=faq-8796127635532","I tried to install the product in Windows with a wireless connection, but the installation failed. What should I do?","You need to set up your software and product again. Do the following:

	Reset your product's network settings. See these instructions.
	Do one of the following:
	 
	
		Windows 11: Click , then search for Settings and select it. Select Network & Internet > Advanced network settings > Windows Firewall. Disable the firewall.
		Windows 10: Click  and select  (Settings) > Network & Internet > Windows Firewall. Disable the firewall.
		Windows 8.x: Navigate to the Apps screen and select Control Panel > Windows Firewall. Disable the firewall.
		Windows (other versions): Select  or Start > Control Panel > System and Security > Windows Firewall. Disable the firewall.
	

	If you have other firewall software enabled, you need to disable it also. If you don't know how to disable it, contact your firewall provider for help.

	Note: This step is needed to install the product's software and complete the wireless setup. Remember to enable your firewall software after you complete the wireless setup.
	Uninstall your product's software. See these instructions.
	Unplug your router's power cord from the power outlet, wait a brief period, and then plug it back in.
	Note: You may need to re-establish the connection for the other devices on your network.
	Download and install the Drivers and Utilities Combo Package from the Downloads tab on the product's support page. Open the file you downloaded and follow the on-screen instructions to install the software.
	 Follow the setup instructions in our how-to video.
	Note: After you complete the wireless setup, turn your firewall back on.


If this does not solve the problem, contact Epson Support."
"1775041493-14","https://epson.com/Support/Printers/All-In-Ones/ET-Series/Epson-ET-2400/s/SPT_C11CJ67201#questions","https://epson.com/Support/Printers/All-In-Ones/ET-Series/Epson-ET-2400/s/SPT_C11CJ67201#faq-8796127635532","https://epson.com/faq/SPT_C11CJ67201~faq-00009cc-et2400?faq_cat=faq-8796127635532","I can't print from Windows with a wireless connection since I received an exchange product from Epson. What should I do?","You need to set up your product again.
 See the setup instructions in our how-to video or follow the instructions below.

	Do one of the following:
	 
	
		Windows 11: Click , then search for Settings and select it. Select Network & Internet > Advanced network settings > Windows Firewall. Disable the firewall.
		Windows 10: Click  and select  (Settings) > Network & Internet > Windows Firewall. Disable the firewall.
		Windows 8.x: Navigate to the Apps screen and select Control Panel > Windows Firewall. Disable the firewall.
		Windows (other versions): Select  or Start > Control Panel > System and Security > Windows Firewall. Disable the firewall.
	

	If you have other firewall software enabled, you need to disable it also. If you don't know how to disable it, contact your firewall provider for help.

	Note: This step is needed to install the product's software and complete the wireless setup. Remember to enable your firewall software after you complete the wireless setup.
	Download and install the Drivers and Utilities Combo Package from the Downloads tab on the product's support page. Open the file you downloaded and follow the on-screen instructions to install the software.
	If you received a different product for exchange, go to the main Epson Support page, select your product, and then download the software from the Downloads tab on the product's support page.
	Note: After you complete the wireless setup, turn your firewall back on.


If this does not solve the problem, contact Epson Support."
"1775041496-15","https://epson.com/Support/Printers/All-In-Ones/ET-Series/Epson-ET-2400/s/SPT_C11CJ67201#questions","https://epson.com/Support/Printers/All-In-Ones/ET-Series/Epson-ET-2400/s/SPT_C11CJ67201#faq-8796127635532","https://epson.com/faq/SPT_C11CJ67201~faq-00009cd-et2400?faq_cat=faq-8796127635532","I tried to install the product on my Mac with a wireless connection, but the installation failed. What should I do?","Try setting up your software and product again. Do the following:

	Reset your product's network settings. See these instructions.
	Open the  menu, select System Preferences or System Settings, and then click either Security & Privacy or Security. Select the Firewall tab and disable the firewall.
	If you have other firewall software enabled, you need to disable it also. If you don't know how to disable it, contact your firewall provider for help.
	Note: This step is needed to install the product's software and complete the wireless setup. Remember to enable your firewall software after you complete the wireless setup.
	Unplug your router's power cord from the power outlet, wait a brief period, and then plug it back in.
	Note: You may need to re-establish the connection for the other devices on your network.
	Download and install the Drivers and Utilities Combo Package from the Downloads tab on the product's support page. Open the file you downloaded and follow the on-screen instructions to install the software.
	 Follow the setup instructions in our how-to video.
	Note: After you complete the wireless setup, turn your firewall back on.


If this does not solve the problem, contact Epson Support."
"1775041499-16","https://epson.com/Support/Printers/All-In-Ones/ET-Series/Epson-ET-2400/s/SPT_C11CJ67201#questions","https://epson.com/Support/Printers/All-In-Ones/ET-Series/Epson-ET-2400/s/SPT_C11CJ67201#faq-8796127635532","https://epson.com/faq/SPT_C11CJ67201~faq-00009cb-et2400?faq_cat=faq-8796127635532","I can't print from my Mac with a wireless connection since I received an exchange product from Epson. What should I do?","You need to set up your product again.
 See the setup instructions in our how-to video or follow the instructions below.

	Open the  menu, select System Preferences or System Settings, and then click either Security & Privacy or Security. Select the Firewall tab and disable the firewall.
	If you have other firewall software enabled, you need to disable it also. If you don't know how to disable it, contact your firewall provider for help.
	Note: This step is needed to install the product's software and complete the wireless setup. Remember to enable your firewall software after you complete the wireless setup.
	Download and install the Drivers and Utilities Combo Package from the Downloads tab on the product's support page. Open the file you downloaded and follow the on-screen instructions to install the software.
	If you received a different product for exchange, go to the main Epson Support page, select your product, and then download the software from the Downloads tab on the product's support page.
	Note: After you complete the wireless setup, turn your firewall back on.


If this does not solve the problem, contact Epson Support."
"1775041502-17","https://epson.com/Support/Printers/All-In-Ones/ET-Series/Epson-ET-2400/s/SPT_C11CJ67201#questions","https://epson.com/Support/Printers/All-In-Ones/ET-Series/Epson-ET-2400/s/SPT_C11CJ67201#faq-8796127635532","https://epson.com/faq/SPT_C11CJ67201~faq-0000913-et2400?faq_cat=faq-8796127635532","I was able to print from my Mac before with a wireless connection, but now I can't. What should I do?","This problem can be caused by your printer, computer, or wireless network. Do the following:
 

	To determine if the printer can print without a computer, print a nozzle check pattern. See these instructions.
	
		If you can print a nozzle check pattern, go to the next step.
		If you can't print a nozzle check pattern, check the product for errors and clear them. See these instructions. Try printing a nozzle check pattern again. If you can print, go to the next step. Otherwise, contact Epson Support.
	
	
	Turn your product off and on again and try printing again. If you can print, you're done and you can skip the remaining steps. Otherwise, go to the next step.
	Delete any pending print jobs from the Epson print queue and try printing again. If you can print, you're done and you can skip the remaining steps. Otherwise, go to the next step.
	On your Mac, open the  menu and select System Preferences. Select Print & Scan, Print & Fax, or Printers & Scanners, select your printer, and then click the  button to remove the printer. Click , select your printer with Kind set as Bonjour, select your printer from the Use drop-down list, and then click Add. This adds the printer back to the printer queue. Try printing again. If you can print, you're done, and you can skip the remaining steps. Otherwise, go to the next step.
	Check your product's Wi-Fi indicator and do one of the following:
	
		If a wireless connection is established, unplug your router's power cord from the power outlet, wait a brief period, plug it back in, and then try to print. If you can print, you're done. The problem was resolved by restarting your router. If you can't print, restart your computer and try printing again. If these steps do not resolve your problem, contact Epson Support.
		Note: You may need to re-establish the connection for the other devices on your network after you restart your router.
		If a wireless connection is not established, follow the instructions in the Reinstall the Product Software section below.
	
	


Reinstall the Product Software


	Reset your product's network settings. See these instructions.
	On your Mac, open the  menu and select System Preferences. Select Print & Scan, Print & Fax, or Printers & Scanners, select your printer, and then click the  button to remove the printer.
	Open the  menu, select System Preferences, and then click either Security & Privacy or Security. Select the Firewall tab and disable the firewall.
	If you have other firewall software enabled, you need to disable it also. If you don't know how to disable it, contact your firewall provider for help.
	Note: This step is needed to install the product's software and complete the wireless setup. Remember to enable your firewall software after you complete the wireless setup.
	Unplug your router's power cord from the power outlet, wait a brief period, and then plug it back in.
	Note: You may need to re-establish the connection for the other devices on your network.
	Download and install the Drivers and Utilities Combo Package from the Downloads tab on the product's support page. Open the file you downloaded and follow the on-screen instructions to install the software.
	 Follow the setup instructions in our how-to video.
	After you complete the wireless setup, turn your firewall back on.


If this does not solve the problem, contact Epson Support."
"1775041506-18","https://epson.com/Support/Printers/All-In-Ones/ET-Series/Epson-ET-2400/s/SPT_C11CJ67201#questions","https://epson.com/Support/Printers/All-In-Ones/ET-Series/Epson-ET-2400/s/SPT_C11CJ67201#faq-8796127635532","https://epson.com/faq/SPT_C11CJ67201~faq-0000914-et2400?faq_cat=faq-8796127635532","I was able to print from Windows before with a wireless connection, but now I can't. What should I do?","This problem can be caused by your printer, computer, or wireless network. Do the following:
 

	To determine if the printer can print without a computer, print a nozzle check pattern. See these instructions.
	
		If you can print a nozzle check pattern, go to the next step.
		If you can't print a nozzle check pattern, check the product for errors and clear them. See these instructions. Try printing a nozzle check pattern again. If you can print, go to the next step. Otherwise, contact Epson Support.
	
	
	Turn your product off and on again and try printing again. If you can print, you're done and you can skip the remaining steps. Otherwise, go to the next step.
	Delete any pending print jobs from the Epson print queue and try printing again. If you can print, you're done and you can skip the remaining steps. Otherwise, go to the next step.
	In the Epson print queue, select Printer and deselect the Use Printer Offline checkbox. If you can print, you're done. Otherwise, go to the next step.
	Check your product's Wi-Fi indicator and do one of the following:
	
		If a wireless connection is established, unplug your router's power cord from the power outlet, wait a brief period, plug it back in, and then try to print. If you can print, you're done. The problem was resolved by restarting your router. If you can't print, restart your computer and try printing again. If these steps do not resolve your problem, contact Epson Support.
		Note: You may need to re-establish the connection for the other devices on your network after you restart your router.
		If a wireless connection is not established, follow the instructions in the Reinstall the Product Software section below.
	
	


Reinstall the Product Software


	Reset your product's network settings. See these instructions.
	Turn off the product and disconnect any interface cables.
	Do one of the following:
	 
	
		Windows 11: Click , then search for Settings and select it. Select Network & Internet > Advanced network settings > Windows Firewall. Disable the firewall.
		Windows 10: Click  and select  (Settings) > Network & Internet > Windows Firewall. Disable the firewall.
		Windows 8.x: Navigate to the Apps screen and select Control Panel > Windows Firewall. Disable the firewall.
		Windows (other versions): Select  or Start > Control Panel > System and Security > Windows Firewall. Disable the firewall.
	

	If you have other firewall software enabled, you need to disable it also. If you don't know how to disable it, contact your firewall provider for help.

	Note: This step is needed to install the product's software and complete the wireless setup. Remember to enable your firewall software after you complete the wireless setup.
	Uninstall your product's software. See these instructions.
	Unplug your router's power cord from the power outlet, wait a brief period, and then plug it back in.
	Note: You may need to re-establish the connection for the other devices on your network.
	Download and install the Drivers and Utilities Combo Package from the Downloads tab on the product's support page. Open the file you downloaded and follow the on-screen instructions to install the software.
	 Follow the setup instructions in our how-to video.
	After you complete the wireless setup, turn your firewall back on.


If this does not solve the problem, contact Epson Support."
"1775041511-19","https://epson.com/Support/Printers/All-In-Ones/ET-Series/Epson-ET-2400/s/SPT_C11CJ67201#questions","https://epson.com/Support/Printers/All-In-Ones/ET-Series/Epson-ET-2400/s/SPT_C11CJ67201#faq-8796127635532","https://epson.com/faq/SPT_C11CJ67201~faq-0000495-et2400?faq_cat=faq-8796127635532","I can't print from Windows with a wireless connection after I replaced my router. What should I do?","You need to set up your product again for the new router. Do the following:

	Uninstall your product's software. See these instructions.
	Do one of the following:
	 
	
		Windows 11: Click , then search for Settings and select it. Select Network & Internet > Advanced network settings > Windows Firewall. Disable the firewall.
		Windows 10: Click  and select  (Settings) > Network & Internet > Windows Firewall. Disable the firewall.
		Windows 8.x: Navigate to the Apps screen and select Control Panel > Windows Firewall. Disable the firewall.
		Windows (other versions): Select  or Start > Control Panel > System and Security > Windows Firewall. Disable the firewall.
	

	If you have other firewall software enabled, you need to disable it also. If you don't know how to disable it, contact your firewall provider for help.

	Note: This step is needed to install the product's software and complete the wireless setup. Remember to enable your firewall software after you complete the wireless setup.
	Download and install the Drivers and Utilities Combo Package from the Downloads tab on the product's support page. Open the file you downloaded and follow the on-screen instructions to install the software.
	 Follow the setup instructions in our how-to video.
	After you complete the wireless setup, turn your firewall back on.


If this does not solve the problem, contact Epson Support."
"1775041514-20","https://epson.com/Support/Printers/All-In-Ones/ET-Series/Epson-ET-2400/s/SPT_C11CJ67201#questions","https://epson.com/Support/Printers/All-In-Ones/ET-Series/Epson-ET-2400/s/SPT_C11CJ67201#faq-8796127635532","https://epson.com/faq/SPT_C11CJ67201~faq-0000494-et2400?faq_cat=faq-8796127635532","I can't print from my Mac with a wireless connection after I replaced my router. What should I do?","You need to set up your product again for the new router. Do the following:

	Open the  menu, select System Preferences > Print & Fax, Print & Scan, or Printers & Scanners > your printer, and then click the  button to remove the printer.
	Open the  menu, select System Preferences, and then click either Security & Privacy or Security. Select the Firewall tab and disable the firewall.
	If you have other firewall software enabled, you need to disable it also. If you don't know how to disable it, contact your firewall provider for help.
	Note: This step is needed to install the product's software and complete the wireless setup. Remember to enable your firewall software after you complete the wireless setup.
	Download and install the Drivers and Utilities Combo Package from the Downloads tab on the product's support page. Open the file you downloaded and follow the on-screen instructions to install the software.
	 Follow the setup instructions in our how-to video.
	After you complete the wireless setup, turn your firewall back on.


If this does not solve the problem, contact Epson Support."
"1775041517-21","https://epson.com/Support/Printers/All-In-Ones/ET-Series/Epson-ET-2400/s/SPT_C11CJ67201#questions","https://epson.com/Support/Printers/All-In-Ones/ET-Series/Epson-ET-2400/s/SPT_C11CJ67201#faq-8796127635532","https://epson.com/faq/SPT_C11CJ67201~faq-0000a2b-et2400?faq_cat=faq-8796127635532","How do I check my product’s network status?","You can use a web browser to check the operating status of the product with the product’s built-in Web Config Utility, or you can print a network connection report to diagnose connection problems with the product on your network. See below.      Accessing the Web Config Utility  You can select your product's network settings and confirm its operating status using a web browser. You do this by accessing your product's built-in Web Config utility from a computer or other device that is connected to the same network as your product.    Print a network status sheet.    Locate the IP address for your product that is listed on the network status sheet.    On a computer or other device connected to the same network as your product, open a web browser.    Enter your product's IP address into the address bar.    You see the available Web Config utility options.  

Related tasks
  Printing a Network Status Sheet
    Printing a Network Connection Report  You can print a network connection report that provides details of the connection between the product and the wireless router.    To print the network connection report, press the  network status button on the product.    Review the information contained in the report and resolve any errors.    Related references
  Network Connection Report Codes and Messages"
"1775041519-22","https://epson.com/Support/Printers/All-In-Ones/ET-Series/Epson-ET-2400/s/SPT_C11CJ67201#questions","https://epson.com/Support/Printers/All-In-Ones/ET-Series/Epson-ET-2400/s/SPT_C11CJ67201#faq-8796127635532","https://epson.com/faq/SPT_C11CJ67201~faq-00007f2-et2400?faq_cat=faq-8796127635532","How do I change from a USB connection to a Wi-Fi connection?","See below.      Changing a USB Connection to a Wi-Fi Connection  If you have already connected your product to your computer using a USB connection, you can change to a Wi-Fi connection.    Disconnect the USB cable from your product.    Uninstall your product software.    Download and install your product software from the Epson website using the instructions on the Start Here sheet.    Related concepts
  Uninstall Your Product Software"
"1775041523-23","https://epson.com/Support/Printers/All-In-Ones/ET-Series/Epson-ET-2400/s/SPT_C11CJ67201#questions","https://epson.com/Support/Printers/All-In-Ones/ET-Series/Epson-ET-2400/s/SPT_C11CJ67201#faq-8796127635532","https://epson.com/faq/SPT_C11CJ67201~faq-00005f0-et2400?faq_cat=faq-8796127635532","How do I connect my WPS-enabled wireless router to my product?","See below.      Using WPS to Connect to a Network  If you have a WPS-enabled router or access point, you can use Wi-Fi Protected Setup (WPS) to connect your device to the network.    Note: To check if your router is WPS-enabled, look for a button labeled WPS on your router or access point. If there is no hardware button, there may be a virtual WPS button in the software for the device. Check your network product documentation for details.      Press the WPS button on your router or access point.    Hold down the Wi-Fi button on your product for about five seconds until the  Wi-Fi light and  Wi-Fi Direct light flash alternately. The  Wi-Fi light turns green to indicate a successful connection.    Note: Be sure to press and hold the Wi-Fi button on your product within 2 minutes of pressing the WPS button on your router or access point.      Related references
  Product Light Status"
"1775041525-24","https://epson.com/Support/Printers/All-In-Ones/ET-Series/Epson-ET-2400/s/SPT_C11CJ67201#questions","https://epson.com/Support/Printers/All-In-Ones/ET-Series/Epson-ET-2400/s/SPT_C11CJ67201#faq-8796127635532","https://epson.com/faq/SPT_C11CJ67201~faq-00005ef-et2400?faq_cat=faq-8796127635532","How do I connect my product with a Wi-Fi Direct connection?","See below.      Enabling Wi-Fi Direct Mode  You can enable Wi-Fi Direct mode to allow direct communication between your product and computer or other devices without a wireless router or access point. Make sure paper is loaded before you begin.    Note: If you are printing from a computer, make sure you installed the network software as described on the Start Here sheet.      Hold down the Wi-Fi button and press the  network status button until the  Wi-Fi light and  Wi-Fi Direct light flash alternately. Then release both buttons.    Note: When you are using an Android device and connect to the printer using Wi-Fi Direct, the  Wi-Fi light and  Wi-Fi Direct light flash simultaneously on the printer.  After both lights stop flashing, the  Wi-Fi Direct light remains on.    Hold down the  network status button for about seven seconds to print a network status sheet.    Use your computer or wireless device to select the Wi-Fi network name (SSID) and password listed in the Wi-Fi Direct section of the network status sheet. You should now be able to print to your product directly from your computer or device. If you cannot print successfully, repeat the process above and make sure you enter the password exactly as written on the network status sheet."
"1775041528-25","https://epson.com/Support/Printers/All-In-Ones/ET-Series/Epson-ET-2400/s/SPT_C11CJ67201#questions","https://epson.com/Support/Printers/All-In-Ones/ET-Series/Epson-ET-2400/s/SPT_C11CJ67201#faq-8796127635532","https://epson.com/faq/SPT_C11CJ67201~faq-00004c1-shared?faq_cat=faq-8796127635532","Where can I get my wireless password for Apple AirPort Extreme or Express?","Contact Apple for assistance."
"1775041531-26","https://epson.com/Support/Printers/All-In-Ones/ET-Series/Epson-ET-2400/s/SPT_C11CJ67201#questions","https://epson.com/Support/Printers/All-In-Ones/ET-Series/Epson-ET-2400/s/SPT_C11CJ67201#faq-8796127635532","https://epson.com/faq/SPT_C11CJ67201~faq-0000b11-shared?faq_cat=faq-8796127635532","Can I set up my product for both a USB and network connection?","Yes, you can set up the product for both a USB and a wireless network connection at the same time. To set up both connections, you must install the product's software twice (i.e., once for each connection type).
Note: With this setup, your product may appear as two devices in the Printer list. One device is for the USB connection, and the other is for the network connection."
"1775041534-27","https://epson.com/Support/Printers/All-In-Ones/ET-Series/Epson-ET-2400/s/SPT_C11CJ67201#questions","https://epson.com/Support/Printers/All-In-Ones/ET-Series/Epson-ET-2400/s/SPT_C11CJ67201#faq-8796127635532","https://epson.com/faq/SPT_C11CJ67201~faq-00009c6-shared?faq_cat=faq-8796127635532","How do I find my SSID and network password?","In most cases, the software installer will automatically set up your wireless connection, so you don't need to know your SSID and password. However, if it cannot determine your SSID or password, you will be prompted to set up your wireless connection manually.      Check your router documentation for this information. Most routers have a default SSID and password that can be modified once the router is set up.      Note: The SSID is the name of the wireless network that is set up on your router or access point.      If you don't know this information, you need to contact the manufacturer of your router or the person who set up your network."
"1775041540-28","https://epson.com/Support/Printers/All-In-Ones/ET-Series/Epson-ET-2400/s/SPT_C11CJ67201#questions","https://epson.com/Support/Printers/All-In-Ones/ET-Series/Epson-ET-2400/s/SPT_C11CJ67201#faq-8796127602764","https://epson.com/faq/SPT_C11CJ67201~faq-0000f4d-shared?faq_cat=faq-8796127602764","How do I install a printer in Windows 11 24H2 or later?","See our Installing a Printer in Windows 11 24H2 or Later page for details."
